Geo_nios_3ch_0001	पिछले पाठ में हमने पढा कि पृथ्वी का आंतरिक भाग बहुत गर्म है ।	piCale pATa meM hamane paDA ki pqWvI kA AMwarika BAga bahuwa garma hE .	In the previous lesson, we have learnt that the interior of the earth is very hot.
Geo_nios_3ch_0083	28 से 15 करोड वर्ष पूर्व यह अक्षांशीय रूप से उत्तरी तथा दक्षिणी भागों में टूट गया जिन्हें क्रमशः लॉरेसिया (अंगारालैंड) तथा गोंडवानालैंड के रूप में जाना गया ।	28 se 15 karoda varRa pUrva yaha akRAMSIya rUpa se uwwarI waWA xakRiNI BAgoM meM tUta gayA jinheM kramaSaH loYresiyA (aMgArAlEMda) waWA goMdavAnAlEMda ke rUpa meM jAnA gayA .	From 280 to 150 million years ago, Pangea was broken latitudinally into northern and southern parts known as Laurasia (Angaraland) and Gondwanaland, respectively.
Geo_nios_3ch_0084a	दोनों एक दूसरे से अलग हटते गए ।	xonoM eka xUsare se alaga hatawe gae .	Both of them drifted away and in between a shallow sea emerged by filling up the water from Panthalasa. It was known as Tethys sea.
Geo_nios_3ch_0084b	तथा इनके बीच पैंथालासा द्वारा पानी भरने से एक उथला समुद्र पैदा हो गया, जिसे टैथीज सागर के नाम से जाना गया ।	waWA inake bIca pEMWAlAsA xvArA pAnI Barane se eka uWalA samuxra pExA ho gayA, jise tEWIja sAgara ke nAma se jAnA gayA .	Both of them drifted away and in between a shallow sea emerged by filling up the water from Panthalasa. It was known as Tethys sea.
Geo_nios_3ch_0085	बाद में लॉरेसिया और गोंडवानालैंड एक दूसरे से अलग हटते गए और अंतः इन्होंने एक दूसरे से दूर हटकर पृथ्वी पर भूभाग और जल के वर्तमान रूप को धारण कर लिया ।	bAxa meM loYresiyA Ora goMdavAnAlEMda eka xUsare se alaga hatawe gae Ora aMwaH inhoMne eka xUsare se xUra hatakara pqWvI para BUBAga Ora jala ke varwamAna rUpa ko XAraNa kara liyA .	Later on Laurasia and Gondwanaland rifted and finally drifted to form the present day distribution of land and water on the eart.
Geo_nios_3ch_0086	वेगनर ने भूगर्भीय भूतकाल में भूभाग के एक होने के पक्ष में कई प्रमाण दिए ।	veganara ne BUgarBIya BUwakAla meM BUBAga ke eka hone ke pakRa meM kaI pramANa xie .	Wegener gave a number of evidences in support of the unification of land mass in geologic past.
Geo_nios_3ch_0087	ये प्रमाण ऐसे हैं जिन्हें आज भी नकारा नहीं जा सकता है ।	ye pramANa Ese hEM jinheM Aja BI nakArA nahIM jA sakawA hE .	They are such which cannot be negated even today.
Geo_nios_3ch_0088	दक्षिणी अमेरिका का पूर्वी तट अफ्रीका के पश्चिमी तट के समान है, जो समुद्र में कुछ गहराई तक जाकर इस के अनुरूप हो जाता है ।	xakRiNI amerikA kA pUrvI wata aPrIkA ke paScimI wata ke samAna hE, jo samuxra meM kuCa gaharAI waka jAkara isa ke anurUpa ho jAwA hE .	Eastern coast of South America is identical to Western coast of Africa which fits to a certain depth in the ocean.
Geo_nios_3ch_0089	कुछ सीमा तक तटीय क्षेत्र और महासागरीय निमग्न तट समुद्री लहरों द्वारा बदल दिए गए हैं ।	kuCa sImA waka watIya kRewra Ora mahAsAgarIya nimagna wata samuxrI laharoM xvArA baxala xie gae hEM .	To a certain extent coastal areas and continental shelves have been modified by oceanic waves through denudation.
Geo_nios_3ch_0090	दक्षिणी अमेरिका और अफ्रीका में दक्षिणी अटलांटिक तट के पर्वत तंत्रों के दोनों महाद्वीपों में विस्तार की समानता है ।	xakRiNI amerikA Ora aPrIkA meM xakRiNI atalAMtika wata ke parvawa waMwroM ke xonoM mahAxvIpoM meM viswAra kI samAnawA hE .	The mountain systems of Southern Atlantic coast in South America and Africa show the similarity of the extension in both continents.
Geo_nios_3ch_0091	कोयला और वनस्पति सम्बन्धी प्रमाण ।	koyalA Ora vanaspawi sambanXI pramANa .	Coal and Vegetation evidences.
Geo_nios_3ch_0092	दक्षिणी अमेरिका, अफ्रीका, भारत और आस्ट्रेलिया में कोयले और वनस्पति का वितरण यह सिद्ध करता है कि, भूवैज्ञानिक काल में ये एक साथ जुडे हुए थे ।	xakRiNI amerikA, aPrIkA, BArawa Ora AstreliyA meM koyale Ora vanaspawi kA viwaraNa yaha sixXa karawA hE ki, BUvEjFAnika kAla meM ye eka sAWa jude hue We .	The distribution of coal and vegetation over South America, Africa, India and Australia proves that they were together in geological past.
Geo_nios_3ch_0093	इन भूभागों पर कार्बोनीफेरस काल में उच्च स्तरीय हिमनदीय निक्षेप एक दूसरे से मेल खाते हैं, जिससे स्पष्ट होता है कि ये एक समय एक साथ थे ।	ina BUBAgoM para kArbonIPerasa kAla meM ucca swarIya himanaxIya nikRepa eka xUsare se mela KAwe hEM, jisase spaRta howA hE ki ye eka samaya eka sAWa We .	The classical glacial deposits during carboniferous period over these landmasses resemble each other which tells the story of togetherness.
Geo_nios_3ch_0094	आज ये विभिन्न जलवायविक क्षेत्रों में है ।	Aja ye viBinna jalavAyavika kRewroM meM hE .	Today they lie in different climatic zones.
Geo_nios_3ch_0095	वेगनर द्वारा दिए गए उक्त प्रमाणों के अतिरिक्त अन्य प्रमाण (जिनका बाद में पता चला) भी महाद्वीपीय विस्थापन को प्रमाणित करते हैं ।	veganara xvArA xie gae ukwa pramANoM ke awirikwa anya pramANa (jinakA bAxa meM pawA calA) BI mahAxvIpIya visWApana ko pramANiwa karawe hEM .	Apart from above evidences put forward by Wegener, other evidences (known later) are also there which support the idea of continental drift.
Geo_nios_3ch_0096	पुराचुम्बकत्व विभिन्न युगों में, ध्रुव की दिशा का अध्ययन है ।	purAcumbakawva viBinna yugoM meM, Xruva kI xiSA kA aXyayana hE .	Paleomagnetism is the study of the direction of pole through ages.
Geo_nios_3ch_0097a	चुंबक से प्रभावित होने वाले खनिज जैसे हेमेटाइट, पाइरोटाइट, मैग्नेटाइट आदि पृथ्वी के चुम्बकीय ध्रुव की सीध में होते हैं ।	cuMbaka se praBAviwa hone vAle Kanija jEse hemetAita, pAirotAita, mEgnetAita Axi pqWvI ke cumbakIya Xruva kI sIXa meM howe hEM .	Magnetically susceptible minerals like haematite, pyrrhotite magnetite etc. get aligned with the magnetic pole of the earth and recorded in the solidification of magma during that time.
Geo_nios_3ch_0097b	और उस समय मैग्मा के घनीभवन में दर्ज हो जाते हैं ।	Ora usa samaya mEgmA ke GanIBavana meM xarja ho jAwe hEM .	Magnetically susceptible minerals like haematite, pyrrhotite magnetite etc. get aligned with the magnetic pole of the earth and recorded in the solidification of magma during that time.
Geo_nios_3ch_0098a	यह पता चला है कि, इसमें समय-समय पर परिवर्तन हुए ।	yaha pawA calA hE ki, isameM samaya-samaya para parivarwana hue .	It is found that periodic changes have occurred and poles have wandered which is not possible for the entire earth.
Geo_nios_3ch_0098b	और ध्रुवों की स्थिति बदलती रही ।	Ora XruvoM kI sWiwi baxalawI rahI .	It is found that periodic changes have occurred and poles have wandered which is not possible for the entire earth.
Geo_nios_3ch_0098c	किंतु यह परिवर्तन संपूर्ण पृथ्वी के लिए संभव नहीं था ।	kiMwu yaha parivarwana saMpUrNa pqWvI ke lie saMBava nahIM WA .	It is found that periodic changes have occurred and poles have wandered which is not possible for the entire earth.
Geo_nios_3ch_0099	अतः यह भूखण्डों में परिवर्तन है न कि संपूर्ण पृथ्वी में, जो कि सिद्ध करता है कि, महाद्वीप अपनी स्थिति बदलते रहे हैं ।	awaH yaha BUKaNdoM meM parivarwana hE na ki saMpUrNa pqWvI meM, jo ki sixXa karawA hE ki, mahAxvIpa apanI sWiwi baxalawe rahe hEM .	Hence, it is the twist and turn of the landblock and not for the entire earth which has again explained that the continents have shifted their positions.
Geo_nios_3ch_0100	मध्य अटलांटिक कटक के सहारे मैग्मा समुद्र की सतह पर आकर ठोस हो जाता है ।	maXya atalAMtika kataka ke sahAre mEgmA samuxra kI sawaha para Akara Tosa ho jAwA hE .	Along the mid Atlantic ridge, magma comes out at the sea bed and gets solidified
Geo_nios_3ch_0101a	इससे एक नए क्षेत्र का निर्माण होता है ।	isase eka nae kRewra kA nirmANa howA hE .	A new zone is formed and this process is continuing since millions of years.
Geo_nios_3ch_0101b	और यह प्रक्रिया लाखों वर्षों से चल रही है ।	Ora yaha prakriyA lAKoM varRoM se cala rahI hE .	A new zone is formed and this process is continuing since millions of years.
Geo_nios_3ch_0102	यह महाद्वीपीय खंडों का विचलन कर रहा है जिससे अटलांटिक महासागर का आकार बढ रहा है, इसको ही समुद्री अधःस्तल का विस्तारण कहते हैं ।	yaha mahAxvIpIya KaMdoM kA vicalana kara rahA hE jisase atalAMtika mahAsAgara kA AkAra baDa rahA hE, isako hI samuxrI aXaHswala kA viswAraNa kahawe hEM .	It is leading for diversion of continental block, and hence the size of the Atlantic ocean is increasing which is termed as sea floor spreading.
Geo_nios_3ch_0103	यह महाद्वीपों के विस्थापन का अनूठा उदाहरण है ।	yaha mahAxvIpoM ke visWApana kA anUTA uxAharaNa hE .	It is the classical example of the shifting of continents.
Geo_nios_3ch_0104	समुद्री अध:स्तल के विस्तारण और पुराचुम्बकत्व के अध्ययन द्वारा महाद्वीपीय विस्थापन के स्पष्टीकरण को ही सामान्य रूप से प्लेट विवर्तनिकी के रूप में जाना जाता है ।	samuxrI aXa:swala ke viswAraNa Ora purAcumbakawva ke aXyayana xvArA mahAxvIpIya visWApana ke spaRtIkaraNa ko hI sAmAnya rUpa se pleta vivarwanikI ke rUpa meM jAnA jAwA hE .	The explanation of continental drift through sea floor spreading and the study of paleomagnetism is commonly known as Plate Tectonics.
Geo_nios_3ch_0105	पृथ्वी की बाह्य ठोस और कठोर परत को भू-पृष्ठ कहा जाता है ।	pqWvI kI bAhya Tosa Ora kaTora parawa ko BU-pqRTa kahA jAwA hE .	The uppermost outer solid and rigid layer of the earth is called crust.
Geo_nios_3ch_0106	इसकी मोटाई सब जगह एक समान नहीं है ।	isakI motAI saba jagaha eka samAna nahIM hE .	Its thickness varies considerably.
Geo_nios_3ch_0107	यह महासागरों के नीचे कहीं केवल 5 किलोमीटर मोटी है परन्तु कुछ पर्वतों के नीचे इसकी मोटाई 70 किलोमीटर तक है ।	yaha mahAsAgaroM ke nIce kahIM kevala 5 kilomItara motI hE paranwu kuCa parvawoM ke nIce isakI motAI 70 kilomItara waka hE .	It is as little as 5 km thick beneath the oceans at some places but under some mountain ranges it extends upto a depth of 70 km.
Geo_nios_3ch_0108	भू पृष्ठ के नीचे सघन शैलें पाई जाती हैं, जिन्हें मेंटल कहते हैं ।	BU pqRTa ke nIce saGana SEleM pAI jAwI hEM, jinheM meMtala kahawe hEM .	Below the crust denser rocks are found, known as mantle crust.
Geo_nios_3ch_0109	मेंटल का ऊपरी भाग धरातल से औसतन 100 किलोमीटर की गहराई तक ठोस है ।	meMtala kA UparI BAga XarAwala se Osawana 100 kilomItara kI gaharAI waka Tosa hE .	This upper part of mantle upto an average depth of 100 km from the surface is solid.
Geo_nios_3ch_0110	यह ठोस मेंटल तथा ऊपरी भू-पृष्ठ मिलकर तुलनात्मक रूप से एक कठोर खंड का निर्माण करते हैं जिसे स्थलमंडल कहा जाता है ।	yaha Tosa meMtala waWA UparI BU-pqRTa milakara wulanAwmaka rUpa se eka kaTora KaMda kA nirmANa karawe hEM jise sWalamaMdala kahA jAwA hE .	This solid mantle plus upper crust form a comparatively rigid block termed as lithosphere.
Geo_nios_3ch_0111	मेंटल 100 से 250 किलोमीटर की गहराई के बीच आंशिक रूप से पिघला हुआ है ।	meMtala 100 se 250 kilomItara kI gaharAI ke bIca AMSika rUpa se piGalA huA hE .	Mantle is partially molten between 100 to 250 km depth.
Geo_nios_3ch_0112	इस क्षेत्र को दुर्बलता मण्डल कहते हैं ।	isa kRewra ko xurbalawA maNdala kahawe hEM .	This zone is said to be asthenosphere,
Geo_nios_3ch_0113	इसे मोहो असंतति भी कहते हैं, यह भू-कम्पविज्ञानी मोहरोविक का संक्षिप्त नाम है, जिसने इसे खोजा था ।	ise moho asaMwawi BI kahawe hEM, yaha BU-kampavijFAnI moharovika kA saMkRipwa nAma hE, jisane ise KojA WA .	This Zone is also known as Mohr discontinuity, a simplification of Mohorovicic, the name of the seismologist who discovered it.
Geo_nios_3ch_0114	इन सब बातों को आप पिछले पाठ में पढ चुके हैं ।	ina saba bAwoM ko Apa piCale pATa meM paDa cuke hEM .	All these things you have already read in the previous lesson.
Geo_nios_3ch_0115	स्थलमंडल कई खंडों में विभाजित है ।	sWalamaMdala kaI KaMdoM meM viBAjiwa hE .	The lithosphere is broken into several blocks.
Geo_nios_3ch_0116	इन खंडों को ही प्लेट कहते हैं ।	ina KaMdoM ko hI pleta kahawe hEM .	These blocks are known as plates.
Geo_nios_3ch_0117	ये प्लेट दुर्बलता मण्डल के ऊपर तैर रहे हैं ।	ye pleta xurbalawA maNdala ke Upara wEra rahe hEM .	which are moving over asthenosphere.
Geo_nios_3ch_0118	सात मुख्य प्लेट हैं ।	sAwa muKya pleta hEM .	There are seven major plates.
Geo_nios_3ch_0119	इन मुख्य प्लेटों के अतिरिक्त कुछ छोटे-छोटे प्लेट हैं, जिनकी संख्या लगभग 20 है ।	ina muKya pletoM ke awirikwa kuCa Cote-Cote pleta hEM, jinakI saMKyA lagaBaga 20 hE .	Apart from these major plates minor plates are about 20 in number.
Geo_nios_3ch_0120	इनमें से कुछ मुख्य प्लेट इस प्रकार हैं ।	inameM se kuCa muKya pleta isa prakAra hEM .	a few important among them are.
Geo_nios_3ch_0121	अरबी प्लेट, फिलीपीनी प्लेट, कोकोस प्लेट, नाजका प्लेट, कैरिबियन प्लेट, स्कोशिया प्लेट ।	arabI pleta, PilIpInI pleta, kokosa pleta, nAjakA pleta, kEribiyana pleta, skoSiyA pleta .	Arabian plate, Philippine plate ,Cocos plate ,Nazca plate ,Caribbean plate ,Scotia plate , etc.
Geo_nios_3ch_0122	मुख्य और छोटे (गौण) प्लेट सम्पूर्ण पृथ्वी के धरातल का निर्माण करते हैं ।	muKya Ora Cote (gONa) pleta sampUrNa pqWvI ke XarAwala kA nirmANa karawe hEM .	The major and minor plates constitute the whole surface of the earth.
Geo_nios_3ch_0123	प्लेट विवर्तनिकी पृथ्वी पर भूमि और जल के वितरण को समझने का एक तरीका है ।	pleta vivarwanikI pqWvI para BUmi Ora jala ke viwaraNa ko samaJane kA eka warIkA hE .	Plate tectonics is a method or way of understanding the land-water distribution of the earth.
Geo_nios_3ch_0124	विवर्तनिकी, प्लेटों का एक प्रकार से संचलन है ।	vivarwanikI, pletoM kA eka prakAra se saMcalana hE .	Tectonics is a sort of movement of plates.
Geo_nios_3ch_0125	इस संचलन से आंतरिक शक्तियों को समझाया गया है, जो कि भूपृष्ठ के वितरण, पर्वत श्रृंखलाओं के निर्माण और भूकम्प तथा ज्वालामुखी के वितरण के लिए उत्तरदायी हैं ।	isa saMcalana se AMwarika SakwiyoM ko samaJAyA gayA hE, jo ki BUpqRTa ke viwaraNa, parvawa SrqMKalAoM ke nirmANa Ora BUkampa waWA jvAlAmuKI ke viwaraNa ke lie uwwaraxAyI hEM .	Through the movement, internal forces are explained which are responsible for the distribution of earth’s crust, formation of mountain chains and distribtion of earthquakes and volcanism.
Geo_nios_3ch_0126	एक ब्रिटिश भूवैज्ञानिक आर्थर होम्स ने सन् 1928-1929 में बताया कि स्थलमंडल के नीचे संवहनीय धाराएँ विद्यमान हैं ।	eka britiSa BUvEjFAnika ArWara homsa ne san 1928-1929 meM bawAyA ki sWalamaMdala ke nIce saMvahanIya XArAez vixyamAna hEM .	Arthur Holmes, a British geologist, in 1928 – 1929, proposed that convectional currents exist underneath the lithosphere.
Geo_nios_3ch_0127a	इन संवहनीय धाराओं का केंद्र तो ज्ञात नहीं है  |	ina saMvahanIya XArAoM kA keMxra wo jFAwa nahIM hE  |	The center of convectional current is not exactly known, but it is believed that it has an average depth of about 100 to 250 km below the surface.
Geo_nios_3ch_0127b	परन्तु यह माना जाता है कि धरातल के नीचे इसकी गहराई लगभग 100 से 250 किलोमीटर है ।	paranwu yaha mAnA jAwA hE ki XarAwala ke nIce isakI gaharAI lagaBaga 100 se 250 kilomItara hE .	The center of convectional current is not exactly known, but it is believed that it has an average depth of about 100 to 250 km below the surface.
Geo_nios_3ch_0128	ये धाराएँ रेडियोधर्मी खनिजों के विखंडन से उत्पन्न ऊर्जा द्वारा संचालित होती हैं ।	ye XArAez rediyoXarmI KanijoM ke viKaMdana se uwpanna UrjA xvArA saMcAliwa howI hEM .	The inception of the current is initiated by heat generation due to radio-active minerals.
Geo_nios_3ch_0129	रेडियोधर्मी खनिजों के एकीकरण और विखंडन से जो ऊष्मा उत्पन्न होती है वह आस पास की शैलों को पिघला देती है ।	rediyoXarmI KanijoM ke ekIkaraNa Ora viKaMdana se jo URmA uwpanna howI hE vaha Asa pAsa kI SEloM ko piGalA xewI hE .	Due to integration and disintegration of atomic minerals heat is produced and hence the melting of surrounding rocks.
Geo_nios_3ch_0130	इस तरह से संवहनीय धाराएँ चलनी प्रारंभ हो जाती हैं ।	isa waraha se saMvahanIya XArAez calanI prAraMBa ho jAwI hEM .	In this way currents start operating.
Geo_nios_3ch_0131	इन धाराओं को अपसरण और अभिसरण क्रियाओं के साथ क्रमशः आरोही और अवरोही क्रमों में वर्गीकृत किया गया है ।	ina XArAoM ko apasaraNa Ora aBisaraNa kriyAoM ke sAWa kramaSaH ArohI Ora avarohI kramoM meM vargIkqwa kiyA gayA hE .	These currents are classified into rising and falling with divergence and convergence activities, respectively.
Geo_nios_3ch_0132	ऊपर उठती हुई संवहनीय धाराओं द्वारा गर्म और चिपचिपा पदार्थ ऊपर की ओर उठने लगता है ।	Upara uTawI huI saMvahanIya XArAoM xvArA garma Ora cipacipA paxArWa Upara kI ora uTane lagawA hE .	With rising convectional current, transport of hot and viscous matter takes place upwardly.
Geo_nios_3ch_0133	धरातल के नीचे लगभग 100 किलोमीटर की गहराई पर पहुँचने के बाद ये धाराएँ मुड जाती हैं, जिससे ऊपर की परत फट जाती है ।	XarAwala ke nIce lagaBaga 100 kilomItara kI gaharAI para pahuzcane ke bAxa ye XArAez muda jAwI hEM, jisase Upara kI parawa Pata jAwI hE .	After reaching about 100 kms below the surface that current gets diverged leading to split into the upper part.
Geo_nios_3ch_0134a	पिघला हुआ पदार्थ टूटे हुए भाग में धंस जाता है ।	piGalA huA paxArWa tUte hue BAga meM XaMsa jAwA hE .	The molten material penetrates into the split and thus creation of new surface and the draft of the mammoth plate in opposition direction.
Geo_nios_3ch_0134b	और इस प्रकार से एक नए धरातल का जन्म होता है ।	Ora isa prakAra se eka nae XarAwala kA janma howA hE .	The molten material penetrates into the split and thus creation of new surface and the draft of the mammoth plate in opposition direction.
Geo_nios_3ch_0134c	और एक भारी प्लेट विपरीत दिशा में खिसकने लगती है ।	Ora eka BArI pleta viparIwa xiSA meM Kisakane lagawI hE .	The molten material penetrates into the split and thus creation of new surface and the draft of the mammoth plate in opposition direction.
Geo_nios_3ch_0135	यह मध्य महासागरीय कटक के नीचे होता है ।	yaha maXya mahAsAgarIya kataka ke nIce howA hE .	It happens below the mid-oceanic ridge.
Geo_nios_3ch_0136a	दूसरी ओर दो जोडी अवरोही उष्मीय संवहनीय धाराएँ दो प्लेटों को आपस में जोडती हैं |	xUsarI ora xo jodI avarohI uRmIya saMvahanIya XArAez xo pletoM ko Apasa meM jodawI hEM |	On the other hand two sets of diverging thermal convectional currents brings two plates together and it is called convergent boundary where subduction takes place.
Geo_nios_3ch_0136b	यह आरोही सीमा बनाती है, जहाँ धंसाव की क्रिया होती है ।	yaha ArohI sImA banAwI hE, jahAz XaMsAva kI kriyA howI hE .	On the other hand two sets of diverging thermal convectional currents brings two plates together and it is called convergent boundary where subduction takes place.
Geo_nios_3ch_0137	संवहनीय धाराओं के कारण स्थलमंडल की प्लेट लगातार चलायमान रहती हैं ।	saMvahanIya XArAoM ke kAraNa sWalamaMdala kI pleta lagAwAra calAyamAna rahawI hEM .	Plates of lithosphere are constantly in motion because of convectional currents.
Geo_nios_3ch_0138	प्लेट सीमाएँ अत्यन्त महत्वपूर्ण और उल्लेखनीय संरचनात्मक लक्षण हैं ।	pleta sImAez awyanwa mahawvapUrNa Ora ulleKanIya saMracanAwmaka lakRaNa hEM .	Plate boundaries are very important and significant structural features.
Geo_nios_3ch_0139	सीमाएँ अत्यन्त सुस्पष्ट और सरलता से पहचानी जाने वाली हैं ।	sImAez awyanwa suspaRta Ora saralawA se pahacAnI jAne vAlI hEM .	Boundaries are very distinct and easy to identify.
Geo_nios_3ch_0140	ये नवीन पर्वत तंत्रों, महासागरीय कटकों और गर्तों से सम्बन्धित हैं ।	ye navIna parvawa waMwroM, mahAsAgarIya katakoM Ora garwoM se sambanXiwa hEM .	They are associated with newly formed mountain systems, oceanic ridges and trenches.
Geo_nios_3ch_0141a	प्लेट लगातार खिसक रहे हैं ।	pleta lagAwAra Kisaka rahe hEM .	Plates are moving continuously and have relative direction of movement.
Geo_nios_3ch_0141b	और इनके खिसकने की दिशा सापेक्षिक है ।	Ora inake Kisakane kI xiSA sApekRika hE .	Plates are moving continuously and have relative direction of movement.
Geo_nios_3ch_0142	प्लेटों के खिसकने की दिशा के आधार पर आसानी से तीन प्रकार की प्लेट सीमाओं की पहचान की जा सकती है ।	pletoM ke Kisakane kI xiSA ke AXAra para AsAnI se wIna prakAra kI pleta sImAoM kI pahacAna kI jA sakawI hE .	Based on the direction of movement three types of plate boundaries can, easily, be identified.
Geo_nios_3ch_0143	संवहनी धाराएँ रेडियोधर्मी पदार्थों से उत्पन्न होती हैं ।	saMvahanI XArAez rediyoXarmI paxArWoM se uwpanna howI hEM .	The convectional current are caused due to radio-activity.
Geo_nios_3ch_0144	ये धाराएँ भूपृष्ठ की परत तक पहुँचते ही मुड जाती हैं ।	ye XArAez BUpqRTa kI parawa waka pahuzcawe hI muda jAwI hEM .	These currents get diverted on approaching the crust layer.
Geo_nios_3ch_0145	अपसरित धाराएँ भूपृष्ठ के मिलन क्षेत्र में खिंचाव पैदा करती हैं, जिससे ये टूट जाती हैं ।	apasariwa XArAez BUpqRTa ke milana kRewra meM KiMcAva pExA karawI hEM, jisase ye tUta jAwI hEM .	Diverging currents produce tension at the contact-zone of crust leading to fracture.
Geo_nios_3ch_0146	चुम्बकीय पदार्थ इस टूटे हुए भाग में घुसकर ठोस हो जाता है ।	cumbakIya paxArWa isa tUte hue BAga meM Gusakara Tosa ho jAwA hE .	Magnetic material penetrates into the fractroges and gets solidified.
Geo_nios_3ch_0147	यह लगातार चलने वाली प्रक्रिया खंडों को विपरीत दिशा में धकेलकर एक नए क्षेत्र का निर्माण करती है, जिसे ’निर्माण क्षेत्र‘ कहते हैं ।	yaha lagAwAra calane vAlI prakriyA KaMdoM ko viparIwa xiSA meM Xakelakara eka nae kRewra kA nirmANa karawI hE, jise nirmANa kRewra kahawe hEM .	This continuous process pushes the blocks in opposite direction and creates a new zone, known as “zone of construction”.
Geo_nios_3ch_0148a	अभिसरण सीमाओं पर नजदीक की दो प्लेटें एक दूसरे के बहुत पास आ जाती हैं ।	aBisaraNa sImAoM para najaxIka kI xo pleteM eka xUsare ke bahuwa pAsa A jAwI hEM .	At convergent boundary, two adjacent plates come further and further closer to each other and collide.
Geo_nios_3ch_0148b	और टकरा जाती हैं ।	Ora takarA jAwI hEM .	At convergent boundary, two adjacent plates come further and further closer to each other and collide.
Geo_nios_3ch_0149a	दोनों खंड महाद्वीपीय प्रकार के होते हैं ।	xonoM KaMda mahAxvIpIya prakAra ke howe hEM .	When both sides are of continental nature, a mountain formation is evident.
Geo_nios_3ch_0149b	तो पर्वतों का निर्माण होता है ।	wo parvawoM kA nirmANa howA hE .	When both sides are of continental nature, a mountain formation is evident.
Geo_nios_3ch_0150a	एक खंड महाद्वीप तथा दूसरा महासागरीय होता है ।	eka KaMda mahAxvIpa waWA xUsarA mahAsAgarIya howA hE .	When one of the two is continental and the other maritime again mountain comes into being along the boundary.
Geo_nios_3ch_0150b	तब भी इनकी सीमाओं के पास पर्वतों का निर्माण होता है ।	waba BI inakI sImAoM ke pAsa parvawoM kA nirmANa howA hE .	When one of the two is continental and the other maritime again mountain comes into being along the boundary.
Geo_nios_3ch_0151	इसमें महाद्वीपीय प्लेट, महासागरीय प्लेट के ऊपर चढ जाती है ।	isameM mahAxvIpIya pleta, mahAsAgarIya pleta ke Upara caDa jAwI hE .	In this case, continental plate overrides the maritime.
Geo_nios_3ch_0152a	दोनों खंड महासागरीय होते हैं ।	xonoM KaMda mahAsAgarIya howe hEM .	When both plates are of maritime, both of them break, subduct and penetrate below and, hence, trenches are formed.
Geo_nios_3ch_0152b	तो दोनों टूट कर धंस जाते हैं और नीचे प्रवेश कर जाते हैं, जिससे गर्तों का निर्माण होता है ।	wo xonoM tUta kara XaMsa jAwe hEM Ora nIce praveSa kara jAwe hEM, jisase garwoM kA nirmANa howA hE .	When both plates are of maritime, both of them break, subduct and penetrate below and, hence, trenches are formed.
Geo_nios_3ch_0153	इस प्रकार की सीमाओं पर भूकंप और ज्वालामुखी उद्भेदन प्रमुख हैं ।	isa prakAra kI sImAoM para BUkaMpa Ora jvAlAmuKI uxBexana pramuKa hEM .	Along this boundary earthquakes and volcanic activities are prominent.
Geo_nios_3ch_0154a	इन तीनों ही अवस्थाओं में, धरातलीय क्षेत्र कम हो जाता है ।	ina wInoM hI avasWAoM meM, XarAwalIya kRewra kama ho jAwA hE .	In all these three situations, surface area is reduced, therefore, this is also known as “zone of destruction”.
Geo_nios_3ch_0154b	इसलिए इसे ’विनाश का क्षेत्र‘ भी कहते हैं ।	isalie ise vinASa kA kRewra BI kahawe hEM .	In all these three situations, surface area is reduced, therefore, this is also known as “zone of destruction”.
Geo_nios_3ch_0155	रूपान्तर भ्रंश सीमा वह होती है, जहाँ एक-दूसरे के पास स्थित प्लेट एक दूसरे से रगडते हुए विपरीत दिशाओं में खिसक जाते हैं ।	rUpAnwara BraMSa sImA vaha howI hE, jahAz eka-xUsare ke pAsa sWiwa pleta eka xUsare se ragadawe hue viparIwa xiSAoM meM Kisaka jAwe hEM .	Transform fault is the one when two adjacent plates slide past each other.
Geo_nios_3ch_0156	इनके खिसकने की दिशा एक दूसरे के साथ-साथ या विपरीत हो सकती है, परन्तु ये एक दूसरे के समान्तर खिसकते हैं ।	inake Kisakane kI xiSA eka xUsare ke sAWa-sAWa yA viparIwa ho sakawI hE, paranwu ye eka xUsare ke samAnwara Kisakawe hEM .	Direction of movement may be along or against but they move parallel to each other.
Geo_nios_3ch_0157a	इसलिए यहाँ न तो नये क्षेत्र का निर्माण होता है ।	isalie yahAz na wo naye kRewra kA nirmANa howA hE .	Therefore, neither there is any construction of fresh area nor it has any destruction.
Geo_nios_3ch_0157b	और न ही भूपर्पटी नष्ट होती है ।	Ora na hI BUparpatI naRta howI hE .	Therefore, neither there is any construction of fresh area nor it has any destruction.
Geo_nios_3ch_0158	इसलिए इसे ’परिरक्षित क्षेत्र' कहते हैं ।	isalie ise parirakRiwa kRewra' kahawe hEM .	Hence, it is known as “zone of preservation”.
Geo_nios_3ch_0159	प्लेट स्थाई लक्षण नहीं होते, वरन इनका आकार और आकृति बदलती रहती है ।	pleta sWAI lakRaNa nahIM howe, varana inakA AkAra Ora Akqwi baxalawI rahawI hE .	Plates are not a permanent features but they vary in size and shape.
Geo_nios_3ch_0160	प्लेट विभाजित या पास के प्लेट से जुड सकती हैं ।	pleta viBAjiwa yA pAsa ke pleta se juda sakawI hEM .	Plates can split or get welded with adjoining plate.
Geo_nios_3ch_0161	लगभग सभी विवर्तनिक हलचलें प्लेटों की सीमाओं पर होती हैं ।	lagaBaga saBI vivarwanika halacaleM pletoM kI sImAoM para howI hEM .	Almost all tectonic activities occur along the plate boundaries.
