Geo_nios_4ch_0001	पृथ्वी अस्थिर है ।	pqWvI asWira hE .	We live on an unstable earth.
Geo_nios_4ch_0070	ऊर्ध्वाधर हलचलों को महाद्वीप निर्माणकारी हलचलें भी कहते हैं ।	UrXvAXara halacaloM ko mahAxvIpa nirmANakArI halacaleM BI kahawe hEM .	Vertical movements are also known as epeirogenetic movements.
Geo_nios_4ch_0071	क्षैतिज हलचलें - कभी-कभी आंतरिक बल भूपर्पटी पर एक दिशा से दूसरी दिशा की ओर अथवा दोनों दिशाओं से प्रभाव डालते हैं ।	kREwija halacaleM - kaBI-kaBI AMwarika bala BUparpatI para eka xiSA se xUsarI xiSA kI ora aWavA xonoM xiSAoM se praBAva dAlawe hEM .	Horizontal Movements There are forces which act on the earth’s crust from side to side i.e. horzontally or tangentially.
Geo_nios_4ch_0072	इस कारण भूपृष्ठ के क्षैतिज शैलों संस्तरों में अत्याधिक परिवर्तन आ जाता हैं इन बलों के कारण पूर्व स्थापित शैल संस्तरों में दबाव व खिंचाव पैदा होता है ।	isa kAraNa BUpqRTa ke kREwija SEloM saMswaroM meM awyAXika parivarwana A jAwA hEM ina baloM ke kAraNa pUrva sWApiwa SEla saMswaroM meM xabAva va KiMcAva pExA howA hE .	Naturally, they cause a lot of disruption in the horizontal layer of strata as they do involve a good deal of compression and tension of the preexisting rocks.
Geo_nios_4ch_0073a	ऐसा इसलिए भी होता है ।	EsA isalie BI howA hE .	Since these forces act horizontally or tangentially to the earth’s spherical surface.
Geo_nios_4ch_0073b	क्योंकि ये बल गोलाकार पृथ्वी के संस्तरों में क्षैतिज अथवा स्पर्श रेखा की दिशा में प्रभावी होते हैं ।	kyoMki ye bala golAkAra pqWvI ke saMswaroM meM kREwija aWavA sparSa reKA kI xiSA meM praBAvI howe hEM .	Since these forces act horizontally or tangentially to the earth’s spherical surface.
Geo_nios_4ch_0074	अतः इनको क्षैतिज हलचलों के नाम से जाना जाता है ।	awaH inako kREwija halacaloM ke nAma se jAnA jAwA hE .	These are known as horizontal or tangential movements.
Geo_nios_4ch_0075	इन्हें हम दो भागों में बाँट सकते हैं ।	inheM hama xo BAgoM meM bAzta sakawe hEM .	We can divide them into two types.
Geo_nios_4ch_0076a	सम्पीडन बल वे हैं जो शैल संस्तरों को एक कठोर तल की दिशा में खिसकाते हैं ।	sampIdana bala ve hEM jo SEla saMswaroM ko eka kaTora wala kI xiSA meM KisakAwe hEM .	Forces of compression involve pushing of the rock strata against a hard plane from one side or from both sides.
Geo_nios_4ch_0076b	अथवा दोनों दिशाओं से दबाव डालते हैं ।	aWavA xonoM xiSAoM se xabAva dAlawe hEM .	Forces of compression involve pushing of the rock strata against a hard plane from one side or from both sides.
Geo_nios_4ch_0077a	उनकी क्रिया को समझने के लिए आप एक कपडे का टुकडा लें ।	unakI kriyA ko samaJane ke lie Apa eka kapade kA tukadA leM .	To understand their working, let us take a piece of cloth and spread it on the table.
Geo_nios_4ch_0077b	और उसे मेज पर फैला लें ।	Ora use meja para PElA leM .	To understand their working, let us take a piece of cloth and spread it on the table.
Geo_nios_4ch_0078a	इस कपडे को अपने दोनों हाथों से उसके बीच की ओर दबाव डालें ।	isa kapade ko apane xonoM hAWoM se usake bIca kI ora xabAva dAleM .	Push the cloth with your both hands towards its centre, it will form wrinkles rising into up and down folds.
Geo_nios_4ch_0078b	तो कपडे पर ऊपर नीचे मोड पड जायेंगे ।	wo kapade para Upara nIce moda pada jAyeMge .	Push the cloth with your both hands towards its centre, it will form wrinkles rising into up and down folds.
Geo_nios_4ch_0079	इस प्रकार सम्पीडन बल शैल संस्तरों में मोड डाल देते हैं जिनके परिणाम स्वरूप वलित पर्वतों का निर्माण होता है जिनमें अवसादी शैलें लहरों की भांति मुड जाती हैं ।	isa prakAra sampIdana bala SEla saMswaroM meM moda dAla xewe hEM jinake pariNAma svarUpa valiwa parvawoM kA nirmANa howA hE jinameM avasAxI SEleM laharoM kI BAMwi muda jAwI hEM .	In this way, the compressional forces lead to the bending of rock layers and thus lead to the formation of fold mountains,in them the rock strata primarily of sedimentary rocks get folded, into wave like structure.
Geo_nios_4ch_0080	इस प्रकार शैलों के मुडने की प्रकिया को वलन कहते हैं ।	isa prakAra SEloM ke mudane kI prakiyA ko valana kahawe hEM .	This process of bending, sometimes warping and twisting of rock strata is referred to as their folding.
Geo_nios_4ch_0081	ऊपर की ओर उठे हुए मोड को अपनति तथा नीचे की ओर पडे हुए मोड को अभिनति कहते हैं ।	Upara kI ora uTe hue moda ko apanawi waWA nIce kI ora pade hue moda ko aBinawi kahawe hEM .	The upfolds are called anticlines and downfold are called synclines.
Geo_nios_4ch_0082a	वलन विस्तृत पैमाने पर होता है ।	valana viswqwa pEmAne para howA hE .	When folding takes place on a gigantic scale, it represents the mountain building process.
Geo_nios_4ch_0082b	तो यह पर्वत निर्माणकारी प्रक्रिया से संबंधित होता है ।	wo yaha parvawa nirmANakArI prakriyA se saMbaMXiwa howA hE .	When folding takes place on a gigantic scale, it represents the mountain building process.
Geo_nios_4ch_0083	संसार की अधिकांश महान पर्वतमालाओं जैसे हिमालय, रॉकीज, एन्डीज, आल्प्स तथा इसी प्रकार की अन्य पर्वतमालाओं का निर्माण सम्पीडन बलों की विस्तृत पैमाने पर हुई प्रक्रियाओं का ही परिणाम है ।	saMsAra kI aXikAMSa mahAna parvawamAlAoM jEse himAlaya, roYkIja, endIja, Alpsa waWA isI prakAra kI anya parvawamAlAoM kA nirmANa sampIdana baloM kI viswqwa pEmAne para huI prakriyAoM kA hI pariNAma hE .	Most of the great mountain chains of the world viz, the Himalaya, the Rockies, the Andes, the Alps and others of this sort have been formed by compressional forces resulting in mountain building on a large scale.
Geo_nios_4ch_0084	इन गतियों को पर्वत निर्माणकारी हलचलें भी कहते हैं ।	ina gawiyoM ko parvawa nirmANakArI halacaleM BI kahawe hEM .	These are also called Orogenetic Movements.
Geo_nios_4ch_0085	क्षैतिज हलचलें सम्पीडन तथा तनाव बलों से उत्पन्न होती है ।	kREwija halacaleM sampIdana waWA wanAva baloM se uwpanna howI hE .	Horizontal movements are produced by forces of compression and tension.
Geo_nios_4ch_0086	सम्पीडन द्वारा शैल संस्तरों में मोड पडने को वलन कहते हैं ।	sampIdana xvArA SEla saMswaroM meM moda padane ko valana kahawe hEM .	Folding is the bending of rock strata due to compression.
Geo_nios_4ch_0087	ऊपर की ओर उठे हुए मोड को अपनति तथा नीचे की ओर पडे हुए मोड को अभिनति कहते हैं ।	Upara kI ora uTe hue moda ko apanawi waWA nIce kI ora pade hue moda ko aBinawi kahawe hEM .	Upfolds are called anticlines and downfolds synclines.
Geo_nios_4ch_0088	बडे पैमाने पर होने वाली वलन प्रक्रिया के परिणामस्वरूप वलित पर्वत बनते हैं ।	bade pEmAne para hone vAlI valana prakriyA ke pariNAmasvarUpa valiwa parvawa banawe hEM .	Folding on gigantic scale results in mountain building movement.
Geo_nios_4ch_0089	इन्हें सामान्यतया पर्वत निर्माणकारी हलचलें कहते हैं ।	inheM sAmAnyawayA parvawa nirmANakArI halacaleM kahawe hEM .	Generally referred as orogeny.
Geo_nios_4ch_0090a	तनाव बल तब पैदा होते हैं शक्तियां दो विपरीत दिशाओं में धरातल के समानांतर कार्य करती हैं अर्थात जब शक्तियाँ किसी दिये गये बिन्दु या तल के दोनों ओर कार्य करती हैं ।	wanAva bala waba pExA howe hEM SakwiyAM xo viparIwa xiSAoM meM XarAwala ke samAnAMwara kArya karawI hEM arWAwa jaba SakwiyAz kisI xiye gaye binxu yA wala ke xonoM ora kArya karawI hEM .	Forces of tension-are produced when these forces are working horizontally in opposite directions i.e, away from a given plane or point.
Geo_nios_4ch_0090b	तो तनाव पैदा होता है ।	wo wanAva pExA howA hE .	Forces of tension-are produced when these forces are working horizontally in opposite directions i.e, away from a given plane or point.
Geo_nios_4ch_0091a	तनाव बल अधिक तीव्र होते हैं ।	wanAva bala aXika wIvra howe hEM .	Under the operation of intense tensional forces, the rock strata is broken or fractured.
Geo_nios_4ch_0091b	तो शैल संस्तरों (परतों) में दरार पड जाती है ।	wo SEla saMswaroM (parawoM) meM xarAra pada jAwI hE .	Under the operation of intense tensional forces, the rock strata is broken or fractured.
Geo_nios_4ch_0091c	या वे टूट जाती हैं ।	yA ve tUta jAwI hEM .	Under the operation of intense tensional forces, the rock strata is broken or fractured.
Geo_nios_4ch_0092	फलस्वरूप दरारें या भ्रंश पैदा हो जाते हैं ।	PalasvarUpa xarAreM yA BraMSa pExA ho jAwe hEM .	As a result cracks and fractures develop.
Geo_nios_4ch_0093a	दो दरारों के बीच के शैल ऊपर अथवा नीचे की ओर विस्थापित हो जाते हैं ।	xo xarAroM ke bIca ke SEla Upara aWavA nIce kI ora visWApiwa ho jAwe hEM .	The line along which displacement of the fractured rock strata takes place is called the fault line.
Geo_nios_4ch_0093b	तो इसे भ्रंशन कहते हैं ।	wo ise BraMSana kahawe hEM .	The line along which displacement of the fractured rock strata takes place is called the fault line.
Geo_nios_4ch_0094a	जिस रेखा के साथ टूटे हुए शैल संस्तर विस्थापित होते हैं ।	jisa reKA ke sAWa tUte hue SEla saMswara visWApiwa howe hEM .	Like wise the plane along which displacement of rock strata takes place is known as fault plane.
Geo_nios_4ch_0094b	अथवा खिसकते हैं उसे भ्रंश-रेखा कहते हैं ।	aWavA Kisakawe hEM use BraMSa-reKA kahawe hEM .	Like wise the plane along which displacement of rock strata takes place is known as fault plane.
Geo_nios_4ch_0095	तनाव बलों के कारण भ्रंश बनते हैं ।	wanAva baloM ke kAraNa BraMSa banawe hEM .	Forces of tension produce faults.
Geo_nios_4ch_0096	जिस रेखा के साथ टूटे शैल संस्तर खिसकते हैं, उसे भ्रंश रेखा कहते हैं ।	jisa reKA ke sAWa tUte SEla saMswara Kisakawe hEM, use BraMSa reKA kahawe hEM .	The plane along which displacement of fractured rock strata takes place is called its fault plane.
Geo_nios_4ch_0097	सम्पीडन की शक्तियों के कारण तनाव की शक्तियाँ सक्रिय होती है ।	sampIdana kI SakwiyoM ke kAraNa wanAva kI SakwiyAz sakriya howI hE .	Forces of compression give rise to the operation of the forces of tension.
Geo_nios_4ch_0098	इस प्रकार भ्रंशों का निर्माण मोडों के बनने की प्रक्रिया के साथ होता है ।	isa prakAra BraMSoM kA nirmANa modoM ke banane kI prakriyA ke sAWa howA hE .	Thus faults are closely related to the formation and occurrence of folds.
Geo_nios_4ch_0099	इस का तात्पर्य यह है कि वलन की प्रक्रिया से शैलों की परतों में भ्रंश निर्मित होते हैं या वे टूटती है ।	isa kA wAwparya yaha hE ki valana kI prakriyA se SEloM kI parawoM meM BraMSa nirmiwa howe hEM yA ve tUtawI hE .	It implies that folding generally leads to or is accompanied by fracturing and faulting in rock strata.
Geo_nios_4ch_0100	भ्रंशन की प्रक्रिया के कारण दरार घाटियों तथा खण्ड पर्वतों का निर्माण होता है ।	BraMSana kI prakriyA ke kAraNa xarAra GAtiyoM waWA KaNda parvawoM kA nirmANa howA hE .	Faulting results in the formation of well known relief features such as rift valleys and the block mountains.
Geo_nios_4ch_0101a	दो लगभग समानांतर दरारों के बीच स्थित शैल संस्तर नीचे की ओर खिसक जाते हैं ।	xo lagaBaga samAnAMwara xarAroM ke bIca sWiwa SEla saMswara nIce kI ora Kisaka jAwe hEM .	A rift valley is formed by sinking of rock strata lying between two almost parallel faults. (fig. 4.4).
Geo_nios_4ch_0101b	तो दरार घाटी का निर्माण होता है. (चित्र 4.4) ।	wo xarAra GAtI kA nirmANa howA hE. (ciwra 4.4) .	A rift valley is formed by sinking of rock strata lying between two almost parallel faults. (fig. 4.4).
Geo_nios_4ch_0102	संसार की प्रमुख दरार घाटियों में स्कॉटलैंड की मध्यवर्ती घाटी, राइन नदी घाटी, नील की घाटी, मृतसागर बेसिन तथा पूर्वी अफ्रीका की महान दरार घाटी जिसमें इस क्षेत्र की कुछ झीलें शामिल है, गणना की है ।	saMsAra kI pramuKa xarAra GAtiyoM meM skoYtalEMda kI maXyavarwI GAtI, rAina naxI GAtI, nIla kI GAtI, mqwasAgara besina waWA pUrvI aPrIkA kI mahAna xarAra GAtI jisameM isa kRewra kI kuCa JIleM SAmila hE, gaNanA kI hE .	The classical examples of rift valleys in the world include the Midland Valley of Scotland, the Rhine Valley, the Valley of Nile, the Dead Sea basin and the Great Rift Valley of East Africa comprising few lakes of this region.
Geo_nios_4ch_0103	कुछ भूगोलवेत्ता नर्मदा तथा तापी घाटियों को भी दरार घाटियाँ मानते हैं ।	kuCa BUgolavewwA narmaxA waWA wApI GAtiyoM ko BI xarAra GAtiyAz mAnawe hEM .	Some geographers are of the opinion that the Narmada and Tapti valleys are also rift valleys.
Geo_nios_4ch_0104	दामोदर नदी घाटी के कोयला निक्षेप प्रारंभिक रूप में एक अभिनति, जो एक दरार घाटी से मिलती जुलती हैं, में जमा हुए बताये जाते हैं ।	xAmoxara naxI GAtI ke koyalA nikRepa prAraMBika rUpa meM eka aBinawi, jo eka xarAra GAtI se milawI julawI hEM, meM jamA hue bawAye jAwe hEM .	The coal deposits of the Damodar valley are said to be originally laid in a synclinal trough resembling a rift valley.
Geo_nios_4ch_0105	दरार घाटी भ्रंश रेखाओं के सहारे बनी दो समानांतर दीवारों के बीच धंसा हुआ भू-भाग होती है ।	xarAra GAtI BraMSa reKAoM ke sahAre banI xo samAnAMwara xIvAroM ke bIca XaMsA huA BU-BAga howI hE .	A rift valley is a trough with steep parallel walls along the fault lines.
Geo_nios_4ch_0106	इस प्रकार की घाटी को ग्रैबन भी कहते हैं ।	isa prakAra kI GAtI ko grEbana BI kahawe hEM .	Such a valley is also called a graben.
Geo_nios_4ch_0107	दरार घाटी का निर्माण दो दरारों के बीच वाले स्थल खंडों के ऊपर उठने से भी हो सकता है, इन पर उठे हुए खण्डों को हार्स्ट या खण्ड पर्वत कहते हैं ।	xarAra GAtI kA nirmANa xo xarAroM ke bIca vAle sWala KaMdoM ke Upara uTane se BI ho sakawA hE, ina para uTe hue KaNdoM ko hArsta yA KaNda parvawa kahawe hEM .	A rift valley may also be formed by upliftment of two blocks along the fault line,these uplifted blocks are called horsts or block mountains.
Geo_nios_4ch_0108	राइन नदी के दोनों किनारों के साथ फैले वासजेज तथा ब्लेक फारेस्ट पर्वत तथा फिलिस्तीन व जार्डन के पठार, खण्ड पर्वतों के प्रसिद्ध उदाहरण हैं ।	rAina naxI ke xonoM kinAroM ke sAWa PEle vAsajeja waWA bleka PAresta parvawa waWA PiliswIna va jArdana ke paTAra, KaNda parvawoM ke prasixXa uxAharaNa hEM .	The well known examples of horsts are the Vosgesand the Black forest mountains on both sides of Rhine rift valley and the Plateaus of Palestine and Trans Jordan.
Geo_nios_4ch_0109	कगार (चित्र 4.3) दरार घाटियों तथा खण्ड पर्वतों के विशिष्ट लक्षण हैं ।	kagAra (ciwra 4.3) xarAra GAtiyoM waWA KaNda parvawoM ke viSiRta lakRaNa hEM .	The escarpments (escarp/faces see Fig 4.3) are the characteristic features of rift valleys and horsts.
Geo_nios_4ch_0110	वे एक दिशा में फैले हुए तीव्र या खडे किनारे वाले ढाल होते हैं ।	ve eka xiSA meM PEle hue wIvra yA Kade kinAre vAle DAla howe hEM .	They are very steep or have highly precipitous slopes in a continuous line facing one direction.
Geo_nios_4ch_0111	अरब सागर की ओर के पश्चिमी घाट के कगार विंध्यांचल के कगार तथा नर्मदा नदी की भ्रंशन का ही परिणाम है ।	araba sAgara kI ora ke paScimI GAta ke kagAra viMXyAMcala ke kagAra waWA narmaxA naxI kI BraMSana kA hI pariNAma hE .	The escarpments of Western Ghats ones looking the Arabian Sea are thought to be the result of faulting,the escarpments of Vindhyachal Mountain are also ascribed to the faulting and formation of narrow Narmada Valley.
Geo_nios_4ch_0112	भ्रंशन के कारण दरारघाटी, खण्ड पर्वत तथा कगारों का निर्माण होता है ।	BraMSana ke kAraNa xarAraGAtI, KaNda parvawa waWA kagAroM kA nirmANa howA hE .	Faulting leads to the formation of rift valleys, horsts and escarpments.
Geo_nios_4ch_0113	भ्रंश रेखा के सहारे बनी दो समानांतर दीवारों के बीच धंसे भाग को दरार घाटी कहते हैं ।	BraMSa reKA ke sahAre banI xo samAnAMwara xIvAroM ke bIca XaMse BAga ko xarAra GAtI kahawe hEM .	A rift valley is a trough with steep parallel walls along the fault line.
Geo_nios_4ch_0114	खडे व तीव ढाल वाले ऊपर उठे हुए भूभाग को खण्ड पर्वत कहते हैं ।	Kade va wIva DAla vAle Upara uTe hue BUBAga ko KaNda parvawa kahawe hEM .	A horst is a uplifted land mass with steep slopes on both the sides.
Geo_nios_4ch_0115	ककगार भ्रंश के साथ बना तीव्र व लंबा ढाल है ।	kakagAra BraMSa ke sAWa banA wIvra va laMbA DAla hE .	An escarpment is a very steep slope in a continuous line along a fault.
Geo_nios_4ch_0116	सम्पीडन बलों द्वारा पैदा हुए भू हलचलों के नाम बताइये ।	sampIdana baloM xvArA pExA hue BU halacaloM ke nAma bawAiye .	Name the earth movements caused by forces of compression.
Geo_nios_4ch_0117	पर्वत निर्माण करने वाली गतियों को भौगोलिक नाम दीजिये ।	parvawa nirmANa karane vAlI gawiyoM ko BOgolika nAma xIjiye .	Give geographical term for mountain building movements.
Geo_nios_4ch_0118	क्या आपने कभी सक्रिय ज्वालामुखी देखा है ? ।	kyA Apane kaBI sakriya jvAlAmuKI xeKA hE ? .	Have you ever seen an active volcano.
Geo_nios_4ch_0119a	आपने नहीं भी देखा है ।	Apane nahIM BI xeKA hE .	Even if you have never seen a volcano, you have probably seen pictures or films of erupting volcanoes.
Geo_nios_4ch_0119b	तो इसे आपने तस्वीरों में या लावा उगलते हुए ज्वालामुखी को फिल्मों में देखा होगा ।	wo ise Apane wasvIroM meM yA lAvA ugalawe hue jvAlAmuKI ko PilmoM meM xeKA hogA .	Even if you have never seen a volcano, you have probably seen pictures or films of erupting volcanoes.
Geo_nios_4ch_0120	यहाँ हम भू आकृतियों के उदाहरण के रूप में इन शंक्वाकार आकृतियों का अध्ययन करेंगे ।	yahAz hama BU AkqwiyoM ke uxAharaNa ke rUpa meM ina SaMkvAkAra AkqwiyoM kA aXyayana kareMge .	These conical forms are one example of the land forms we will study in this chapter.
Geo_nios_4ch_0121	ज्वालामुखी भूपर्पटी में वह छिद्र या द्वार होता है जिनके द्वारा शैल पदार्थ, शैल के टुकडे,राख, जलवाष्प तथा अन्य गर्म गैसें धीरे-धीरे अथवा तेजी से उद्गार के समय निकलते हैं ।	jvAlAmuKI BUparpatI meM vaha Cixra yA xvAra howA hE jinake xvArA SEla paxArWa, SEla ke tukade,rAKa, jalavARpa waWA anya garma gEseM XIre-XIre aWavA wejI se uxgAra ke samaya nikalawe hEM .	A volcano is a vent or an opening in the earth’s crust through which molten rock material, rock fragments, ash, steam and other hot gases are emitted slowly or forcefully in the course of an eruption.
Geo_nios_4ch_0122	ये पदार्थ पृथ्वी के आंतरिक गर्म भागों से भूपृष्ठ पर फैंके जाते हैं ।	ye paxArWa pqWvI ke AMwarika garma BAgoM se BUpqRTa para PEMke jAwe hEM .	These materials are thrown out from the hot interior of the earth to its surface.
Geo_nios_4ch_0123	इस प्रकार के छिद्र या भू पृष्ठ पृथ्वी के उन भागों में पाये जाते हैं, जहाँ शैल संस्तर अपेक्षाकृत कमजोर होते हैं ।	isa prakAra ke Cixra yA BU pqRTa pqWvI ke una BAgoM meM pAye jAwe hEM, jahAz SEla saMswara apekRAkqwa kamajora howe hEM .	Such vents or openings occur in those parts of the earth’s crust where rock strata are relatively weak.
Geo_nios_4ch_0124	आपको आश्चर्य हो रहा होगा कि ये उद्गार होते क्यों हैं ।	Apako AScarya ho rahA hogA ki ye uxgAra howe kyoM hEM .	You may be wondering why such eruptions take place.
Geo_nios_4ch_0125	वास्तव में ज्वालामुखी इस तथ्य के प्रमाण हैं कि पृथ्वी के आंतरिक भागों में अत्याधिक गर्मी व दबाव विद्यमान है ।	vAswava meM jvAlAmuKI isa waWya ke pramANa hEM ki pqWvI ke AMwarika BAgoM meM awyAXika garmI va xabAva vixyamAna hE .	Actually, volcanoes are evidence of the presence of the intense heat and pressure existing within the earth.
Geo_nios_4ch_0126	पृथ्वी की बाह्य ठोस परत के नीचे पिघले शैल पदार्थ जिन्हें मैग्मा कहते हैं, अत्याधिक दबाव में होते हैं ।	pqWvI kI bAhya Tosa parawa ke nIce piGale SEla paxArWa jinheM mEgmA kahawe hEM, awyAXika xabAva meM howe hEM .	Hot molten rock materials beneath the solid outer crust is known as magma.
Geo_nios_4ch_0127a	यह मैग्मा छिद्र या दरार द्वारा मैग्मा चेम्बर से बाहर धरातल पर जमा हो जाता है ।	yaha mEgmA Cixra yA xarAra xvArA mEgmA cembara se bAhara XarAwala para jamA ho jAwA hE .	When this magma is thrown out from the magma chamber to the earth’s surface it is known as lava.
Geo_nios_4ch_0127b	तब इसे लावा कहते हैं ।	waba ise lAvA kahawe hEM .	When this magma is thrown out from the magma chamber to the earth’s surface it is known as lava.
Geo_nios_4ch_0128a	मैग्मा तथा गैसें जो भूपर्पटी के नीच जमा है, वे बाहर आने का प्रयास करती है ।	mEgmA waWA gEseM jo BUparpatI ke nIca jamA hE, ve bAhara Ane kA prayAsa karawI hE .	The magma and the gases stored within the earth’s surface keep trying to come out to the surface through a line of weakness anywhere in the crust.
Geo_nios_4ch_0128b	जब ये अपने दाव से भूपर्पटी में कोई कमजोर रेखा या छिद्र बनाने में सफल हो जाती है ।	jaba ye apane xAva se BUparpatI meM koI kamajora reKA yA Cixra banAne meM saPala ho jAwI hE .	The magma and the gases stored within the earth’s surface keep trying to come out to the surface through a line of weakness anywhere in the crust.
Geo_nios_4ch_0129	तो ये गैसें, पिघले शैल पदार्थ, शैल के ठोस टुकडे व राख आदि के साथ तेजी से धरातल पर फैल जाते हैं ।	wo ye gEseM, piGale SEla paxArWa, SEla ke Tosa tukade va rAKa Axi ke sAWa wejI se XarAwala para PEla jAwe hEM .	The tremendous force created by magma and its gases creates a hole in the crust and the lava spreads out on the surface along with ash and fragmented rock material.
Geo_nios_4ch_0130a	ठोस व पिघले शैल तथा गैसे पृथ्वी के आंतरिक भागों से निकलकर धरातल पर आती हैं ।	Tosa va piGale SEla waWA gEse pqWvI ke AMwarika BAgoM se nikalakara XarAwala para AwI hEM .	The process by which solid liquid and gaseous materials escape from the earth’s interior to the surface of the earth is called vulcanism.
Geo_nios_4ch_0130b	तो यह प्रक्रिया ज्वालामुखी प्रक्रिया कहलाती है ।	wo yaha prakriyA jvAlAmuKI prakriyA kahalAwI hE .	The process by which solid liquid and gaseous materials escape from the earth’s interior to the surface of the earth is called vulcanism.
Geo_nios_4ch_0131	ज्वालामुखी भूपर्पटी में वह छिद्र होता है, जिससे पिघले शैल पदार्थ मन्द अथवा तीव्र गति से बाहर निकलते हैं ।	jvAlAmuKI BUparpatI meM vaha Cixra howA hE, jisase piGale SEla paxArWa manxa aWavA wIvra gawi se bAhara nikalawe hEM .	A volcano is an opening in the earth’s crust through which molten rock material are thrown out slowly or forcefully.
Geo_nios_4ch_0132	पदार्थों के बाहर निकलने की गति उद्गार की तीव्रता पर निर्भर करती है ।	paxArWoM ke bAhara nikalane kI gawi uxgAra kI wIvrawA para nirBara karawI hE .	Rock material are thrown out slowly or forcefully depending upon the force of eruption.
Geo_nios_4ch_0133	ज्वालामुखी उद्गार का मुख्य कारण मैग्मा और गर्म गैसों द्वारा भूपर्पटी पर डाला गया अत्याधिक दबाव है ।	jvAlAmuKI uxgAra kA muKya kAraNa mEgmA Ora garma gEsoM xvArA BUparpatI para dAlA gayA awyAXika xabAva hE .	The cause of volcanic eruption is the excessive pressure exerted by the magma and hot gases on the earth’s crust.
Geo_nios_4ch_0134	वह प्रक्रिया जिसके द्वारा ठोस, पिघले शैल व गैसें पृथ्वी के आंतरिक भागों से मुक्त होकर उसके धरातल पर आती हैं, ज्वालामुखी प्रक्रिया कहते हैं ।	vaha prakriyA jisake xvArA Tosa, piGale SEla va gEseM pqWvI ke AMwarika BAgoM se mukwa hokara usake XarAwala para AwI hEM, jvAlAmuKI prakriyA kahawe hEM .	The process by which solid, liquid and gaseous materials escape from the earth’s interior to its surface is known as Vulcanism.
Geo_nios_4ch_0135	ज्वालामुखी पदार्थ छिद्र या द्वार के बाहर होकर प्रायः शंकु का आकार ग्रहण करते हैं ।	jvAlAmuKI paxArWa Cixra yA xvAra ke bAhara hokara prAyaH SaMku kA AkAra grahaNa karawe hEM .	The volcanic materials accumulate around the opening or hole taking the form of a cone.
Geo_nios_4ch_0136	शंकु के ऊपर कीप के आकार का एक गड्ढा होता है जिसे क्रेटर कहते हैं ।	SaMku ke Upara kIpa ke AkAra kA eka gadDA howA hE jise kretara kahawe hEM .	The top of the cone has a funnel shaped depression which is called its crater.
Geo_nios_4ch_0137	ज्वालामुखी प्रक्रिया के आधार पर ज्वालामुखी को वर्गीकृत किया जाता है ।	jvAlAmuKI prakriyA ke AXAra para jvAlAmuKI ko vargIkqwa kiyA jAwA hE .	Volcanoes are classified on the basis of the nature of vulcanism.
Geo_nios_4ch_0138	उद्गार की बारम्बारता, ज्वालामुखी पदार्थों के बाहर निकल कर पृथ्वी के धरातल पर आने के ढंग तथा उद्गार की प्रकृति अथवा तरलता वर्गीकरण के प्रमुख आधार हैं ।	uxgAra kI bArambArawA, jvAlAmuKI paxArWoM ke bAhara nikala kara pqWvI ke XarAwala para Ane ke DaMga waWA uxgAra kI prakqwi aWavA waralawA vargIkaraNa ke pramuKa AXAra hEM .	The basis include the frequency of eruption, mode of eruption or fluidity and the manner in which volcanic material escapes to the surface of the earth.
Geo_nios_4ch_0139	उद्गार की बारम्बारता के आधार पर ज्वालामुखी तीन प्रकार के होते हैं (1) सक्रिय ज्वालामुखी, (2) प्रसुप्त ज्वालामुखी तथा (3) विलुप्त ज्वालामुखी ।	uxgAra kI bArambArawA ke AXAra para jvAlAmuKI wIna prakAra ke howe hEM (1) sakriya jvAlAmuKI, (2) prasupwa jvAlAmuKI waWA (3) vilupwa jvAlAmuKI .	On the basis of the frequency of eruption, volcanoes are of three types: (i) Active (ii) Dormant and (iii) Extinct.
Geo_nios_4ch_0140a	वे ज्वालामुखी जिनमें समय-समय पर उद्गार होते रहते हैं ।	ve jvAlAmuKI jinameM samaya-samaya para uxgAra howe rahawe hEM .	The volcanoes which erupt frequently or have erupted recently or are in action currently are called active volcanoes.
Geo_nios_4ch_0140b	अथवा वर्तमान में उदगार हो रहे हैं, उन्हें सक्रिय ज्वालामुखी कहते हैं ।	aWavA varwamAna meM uxagAra ho rahe hEM, unheM sakriya jvAlAmuKI kahawe hEM .	The volcanoes which erupt frequently or have erupted recently or are in action currently are called active volcanoes.
Geo_nios_4ch_0141	इस प्रकार के प्रमुख ज्वालामुखी-भूमध्य सागर में स्ट्रॉमबोली, इंडोनेशिया में क्राकाटोआ, फिलीपाइन्स में मेयोन, हवाई द्वीप समूह में मोना लोआ तथा भारत में बैरन द्वीप हैं ।	isa prakAra ke pramuKa jvAlAmuKI-BUmaXya sAgara meM stroYmabolI, iMdoneSiyA meM krAkAtoA, PilIpAinsa meM meyona, havAI xvIpa samUha meM monA loA waWA BArawa meM bErana xvIpa hEM .	Important among these include Stromboli in Mediterranean, Krakatoa in Indonesia, Mayon in Philippines, Mauna loa in Hawai Islands and Barren Island in India.
Geo_nios_4ch_0142	प्रसुप्त ज्वालामुखी वे हैं जिनमें वर्तमान काल में उद्गार नहीं हुए हैं ।	prasupwa jvAlAmuKI ve hEM jinameM varwamAna kAla meM uxgAra nahIM hue hEM .	The volcanoes which have not erupted in recent times are known as dormant volcano.
Geo_nios_4ch_0143	वास्तव में उन्हें सोये हुए ज्वालामुखी कहा जा सकता है ।	vAswava meM unheM soye hue jvAlAmuKI kahA jA sakawA hE .	They are as such the ‘sleeping volcanoes.
